SCU,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type,epc_rating_current,epc_rating_potential,d_epc_mainht_fuel,d_epc_mainht_plant,d_epc_mainht_room,d_epc_secondht_fuel,d_epc_dhw_fuel,d_epc_dhw_plant,d_epc_envelope_flr_type,d_epc_envelope_flr_insulation,d_epc_envelope_rf_type,d_epc_envelope_rf_insulation,d_epc_envelope_wall_type,d_epc_envelope_wall_insulation,d_epc_glazing_type,Cluster
52401019310007,2,"POLYGON ((531540.95 165328.35, 531542.1 165327.65, 531542 165327.4, 531538.1 165320.85, 531537.6 165321.05, 531537.5 165322.25, 531532.65 165321.3, 531531.1 165329.8, 531536.5 165330.7, 531542.8 165331.55, 531541.14 165328.68, 531540.95 165328.35))",FALSE,4.53,0.1166125376303530,,PRE-1914,Factory,Factory,,,,,,,,,,,,,,,,,,,531536.5504970110,165326.60597051500,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401019310008,3,"POLYGON ((531526.5 165320.1, 531520.4 165318.9, 531518.6 165327.35, 531524.75 165328.55, 531530.85 165329.75, 531531.1 165329.8, 531532.65 165321.3, 531526.5 165320.1))",FALSE,7.16,0.1502651184057320,,1945-1980,Shop,Shop,Dwell,,,,,,,,,,,,,,,,,,531525.6847623580,165324.35155168300,3.0,mixed,B,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Unknown (uvalue),Unknown (uvalue),High Performance,dom2
52401019310009,4,"POLYGON ((531508.9 165316.65, 531507.25 165325.05, 531500.8 165323.75, 531499.15 165319, 531500 165318.65, 531502.939 165317.493, 531506.35 165316.15, 531508.9 165316.65))",FALSE,8.92,0.1525382719854710,,PRE-1914,Shop,Shop,Dwell,Dwell,,,,,,,,,,,,,,,,,531504.4147108030,165320.53099638200,1.0,mixed,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401019310013,3,"POLYGON ((531514.4 165317.75, 531512.6 165326.15, 531507.25 165325.05, 531508.9 165316.65, 531514.4 165317.75))",FALSE,8.49,0.0743561348490787,,PRE-1914,Shop,Shop,Shop,,,,,,,,,,,,,,,,,,531510.7928872390,165321.38173750500,1.0,nondom,,,,,,,,,,,,,,,,nondom1
52401019330008,2,"POLYGON ((531513.3 165249.05, 531510.45 165245.05, 531510.8 165244.9, 531514.4 165242.3, 531515.3 165243.6, 531516.1 165243.05, 531518 165245.75, 531513.3 165249.05))",FALSE,5.7,0.132901644791493,,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531514.1889331820,165245.5664496550,4.0,dom,E,D,Electricity,StorageHeaters,Unknown,Electricity,Electricity,ImmersionHeater,Solid,No,Pitched,Yes,Cavity,Yes,Secondary,dom3
52401019330040,2,"POLYGON ((531509.25 165303.8, 531504.4 165306, 531505.5 165308.45, 531505.698 165308.89, 531506.85 165311.45, 531522.6 165304.4, 531525.55 165303.05, 531521.3 165296.65, 531521.65 165296.4, 531514.9 165286.9, 531508.35 165290.85, 531508.45 165291, 531515.25 165301.1, 531513.55 165301.85, 531512.85 165300.25, 531508.5 165302.25, 531509.25 165303.8))",FALSE,3.3,0.1675461774204240,,1945-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531514.8658869810,165299.96773531800,3.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
52401019330064,2,"POLYGON ((531518 165245.75, 531519.9 165248.45, 531519.2 165248.95, 531520.25 165250.4, 531516.3 165253.25, 531513.3 165249.05, 531518 165245.75))",FALSE,5.5,0.0890942266410575,,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531516.9644620180,165249.49567457500,4.0,dom,D,D,Electricity,StorageHeaters,Unknown,Electricity,Electricity,ImmersionHeater,Suspended,No,Pitched,Yes,Cavity,Yes,Double (post 2002),dom0
52401019330069,1,"POLYGON ((531515.45 165255.25, 531520.94 165251.38, 531521.75 165252.53, 531522.16 165252.24, 531523.31 165253.88, 531522.9 165254.17, 531523.31 165254.75, 531523.96 165254.29, 531525.58 165256.58, 531524.92 165257.04, 531526.19 165258.84, 531522.43 165261.49, 531519.56 165257.41, 531517.85 165258.62, 531515.45 165255.25))",FALSE,0.89,0.47721504539559,,PRE-1914,Dwell,,,,,,,,,,,,,,,,,,,,531521.1403963430,165256.3250060030,1.0,dom,E,D,Electricity,Unknown,RmHeaters,None,Electricity,ImmersionHeater,Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Double,dom0
52401019330077,2,"POLYGON ((531521.098 165315.572, 531521.11 165315.574, 531520.4 165318.9, 531518.6 165327.35, 531517.45 165327.1, 531512.6 165326.15, 531514.4 165317.75, 531515.112 165314.425, 531521.098 165315.572))",FALSE,6.12,0.163080404501967,,1945-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531516.8574366090,165320.87241130200,3.0,dom,C,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),High Performance,dom3
52401019330090,2,"POLYGON ((531512.4 165237.55, 531507.9 165240.85, 531504.85 165236.55, 531508.75 165233.75, 531509.75 165235.2, 531510.4 165234.75, 531512.4 165237.55))",FALSE,5.32,0.096790863683434,,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531508.5798650090,165237.20658495300,4.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1
