,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type
52401020910002,2,"POLYGON ((532088.33 164909.35, 532072.6 164899.85, 532078.4 164890.15, 532094.15 164899.55, 532089.18 164907.91, 532088.33 164909.35))",False,8.45,0.08380078818255092,,POST-1980,Office,Office,,,,,,,,,,,,,,,,,,,532083.37932651,164899.73245246845,4.0,nondom
52401020910003,3,"POLYGON ((532081.01 164869, 532086.64 164859.59, 532091.54 164851.4, 532105.19 164859.79, 532103.75 164862.2, 532106.72 164863.97, 532099.69 164875.97, 532094.35 164885.1, 532086.16 164880.21, 532084.05 164878.95, 532077.4 164875.03, 532081.01 164869))",False,6.69,0.13291957137773797,,1918-1939,Office,Office,Office,,,,,,,,,,,,,,,,,,532092.5849300703,164868.40732842946,2.0,nondom
52401021010001,1,"POLYGON ((531990.26 164676.37, 531983.5 164674.2, 531986.35 164665.4, 531993.21 164667.64, 531990.26 164676.37))",False,11.89,0.11558088512188837,,PRE-1914,Office,,,,,,,,,,,,,,,,,,,,531988.3317475546,164670.88985609764,1.0,nondom
52401021810005,2,"POLYGON ((532431.2 164557.13, 532428.55 164561.75, 532427.75 164561.6, 532421.89 164557.83, 532420.6 164557, 532421.15 164555.4, 532416.2 164552.25, 532417.78 164549.17, 532431.2 164557.13))",False,8.62,0.1252348489776673,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532423.9849396183,164555.68727384278,1.0,nondom
52401021810006,3,"POLYGON ((532428.25 164530.64, 532427.05 164533.9, 532439.55 164539.4, 532438.1 164543.85, 532437 164547.05, 532422.45 164540.6, 532422.65 164540.25, 532419.45 164538.4, 532417.25 164537.15, 532420 164529.85, 532418.15 164529.15, 532418.95 164526.9, 532421.1 164527.72, 532428.25 164530.64))",False,8.77,0.15019827301711827,,1945-1980,Office,Office,Office,,,,,,,,,,,,,,,,,,532427.7132145299,164537.5010471595,3.0,nondom
52401021810009,1,"POLYGON ((532276.18 164730.66, 532280.8 164725.05, 532288 164729.4, 532285.35 164732.85, 532288.3 164735.9, 532287.5 164736.7, 532288.35 164737.55, 532285.55 164740.3, 532286.5 164741.3, 532291.21 164736.66, 532295.15 164740.45, 532287.42 164748.17, 532273.35 164734.1, 532276.18 164730.66))",False,3.51,0.17036109263976654,,1918-1939,Office,,,,,,,,,,,,,,,,,,,,532283.7492213747,164736.523816039,2.0,nondom
52401021810011,1,"POLYGON ((532213.85 164545.75, 532208.2 164556.45, 532192.15 164547.8, 532197.65 164537.25, 532204.3 164540.75, 532205.1 164539.3, 532207.9 164540.7, 532207.15 164542.3, 532213.85 164545.75))",False,4.29,0.1071617331263575,,1945-1980,Community,,,,,,,,,,,,,,,,,,,,532203.0555285795,164546.68148025294,3.0,nondom
52401021810012,2,"POLYGON ((532434.75 164550.96, 532437 164547.05, 532422.45 164540.6, 532420.6 164544.65, 532423.74 164546.36, 532425.52 164547.33, 532424.45 164549, 532419.69 164546.41, 532419.3 164546.2, 532417.78 164549.17, 532431.2 164557.13, 532434.14 164552.02, 532434.75 164550.96))",False,9.05,0.08187155539872172,,PRE-1914,Office,Office,,,,,,,,,,,,,,,,,,,532427.7002429898,164548.73704925406,1.0,nondom
52401021810014,1,"POLYGON ((532221.599 164496.181, 532218.837 164494.825, 532209.841 164512.658, 532211.721 164513.601, 532212.615 164514.05, 532213.188 164514.338, 532221.756 164518.639, 532222.184 164517.644, 532223.302 164518.212, 532225.598 164519.378, 532226.952 164516.652, 532231.316 164518.82, 532236.852 164521.57, 532234.726 164525.695, 532235.677 164526.169, 532238.493 164527.572, 532239.896 164528.272, 532240.92 164528.782, 532238.647 164533.345, 532240.27 164534.144, 532242.692 164535.336, 532242.845 164535.171, 532245.369 164536.437, 532244.491 164538.278, 532244.235 164538.816, 532243.433 164540.499, 532247.034 164542.459, 532246.539 164543.3, 532248.71 164544.73, 532250.221 164542.177, 532250.88 164542.63, 532248.96 164545.43, 532248.05 164546.75, 532274.16 164564.38, 532273.3 164565.72, 532275.4 164567.25, 532276.34 164565.86, 532282.55 164570.05, 532286.45 164564.3, 532289.8 164566.5, 532297.05 164555.75, 532285.5 164547.85, 532285.2 164548.3, 532282.7 164546.6, 532282.64 164546.69, 532279.8 164550.9, 532278.63 164550.11, 532270.67 164544.72, 532261 164538.17, 532261.93 164536.8, 532261.35 164536.41, 532255.63 164532.55, 532255.35 164532.97, 532255.071 164533.379, 532253.908 164532.303, 532254.05 164532.091, 532254.968 164530.726, 532256.029 164529.15, 532252.817 164526.961, 532251.269 164525.906, 532249.42 164524.646, 532251.498 164520.474, 532250.963 164520.202, 532243.813 164516.557, 532243.04 164516.163, 532242.505 164515.89, 532242.218 164515.744, 532241.77 164516.597, 532238.868 164515.109, 532241.16 164510.536, 532233.006 164506.394, 532231.891 164505.828, 532231.315 164506.8, 532228.43 164505.287, 532230.685 164500.643, 532221.599 164496.181))",False,4.78,0.12259078908520349,,PRE-1914,Education,,,,,,,,,,,,,,,,,,,,532252.7925206183,164534.88408071996,1.0,nondom
52401021910001,3,"POLYGON ((532421.98 164745.21, 532422.27 164741.12, 532421.05 164740.97, 532411.9 164739.85, 532411.7 164741.35, 532408.85 164741, 532408.7 164742.25, 532407.65 164742.1, 532407.48 164743.55, 532407.3 164745.1, 532408.5 164745.25, 532408.35 164746.45, 532411.4 164746.8, 532411.262 164747.838, 532411.26 164747.85, 532411.26 164747.86, 532411.54 164747.94, 532421.7 164749.3, 532421.98 164745.21))",False,7.31,0.11986133331997689,,1918-1939,Office,Office,Office,,,,,,,,,,,,,,,,,,532415.4657041342,164744.41875351666,2.0,nondom
