,osgb,nofloors,geometry,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type,epc_rating_current,epc_rating_potential,d_epc_mainht_fuel,d_epc_mainht_plant,d_epc_mainht_room,d_epc_secondht_fuel,d_epc_dhw_fuel,d_epc_dhw_plant,d_epc_envelope_flr_type,d_epc_envelope_flr_insulation,d_epc_envelope_rf_type,d_epc_envelope_rf_insulation,d_epc_envelope_wall_type,d_epc_envelope_wall_insulation,d_epc_glazing_type,Cluster,interiors,touching,polygon_exposed_wall,polygon_horizontal,bi
0,52401019310007,2,"POLYGON ((531540.95 165328.35, 531542.1 165327.65, 531542 165327.4, 531538.1 165320.85, 531537.6 165321.05, 531537.5 165322.25, 531532.65 165321.3, 531531.1 165329.8, 531536.5 165330.7, 531542.8 165331.55, 531541.14 165328.68, 531540.95 165328.35))",False,4.53,0.116612537630353,nondom1,PRE-1914,Factory,Factory,,,,,,,,,,,,,,,,,,,531536.550497011,165326.605970515,1.0,nondom,,,,,,,,,,,,,,,,nondom1,False,[52401019310008],"MULTILINESTRING ((531540.95 165328.35, 531542.1 165327.65, 531542 165327.4, 531538.1 165320.85, 531537.6 165321.05, 531537.5 165322.25, 531532.65 165321.3), (531531.1 165329.8, 531536.5 165330.7, 531542.8 165331.55, 531541.14 165328.68, 531540.95 165328.35))","POLYGON ((531540.95 165328.35, 531542.1 165327.65, 531542 165327.4, 531538.1 165320.85, 531537.6 165321.05, 531537.5 165322.25, 531532.65 165321.3, 531531.1 165329.8, 531536.5 165330.7, 531542.8 165331.55, 531541.14 165328.68, 531540.95 165328.35))",bi_531519-96_165323-0
1,52401019310008,3,"POLYGON ((531526.5 165320.1, 531520.4 165318.9, 531518.6 165327.35, 531524.75 165328.55, 531530.85 165329.75, 531531.1 165329.8, 531532.65 165321.3, 531526.5 165320.1))",False,7.16,0.150265118405732,dom2,1945-1980,Shop,Shop,Dwell,,,,,,,,,,,,,,,,,,531525.684762358,165324.351551683,3.0,mixed,B,B,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Below (premises),Internal Floor,Unknown (uvalue),Unknown (uvalue),High Performance,dom2,False,"[52401019310007, 52401019330077]","MULTILINESTRING ((531526.5 165320.1, 531520.4 165318.9), (531518.6 165327.35, 531524.75 165328.55, 531530.85 165329.75, 531531.1 165329.8), (531532.65 165321.3, 531526.5 165320.1))","POLYGON ((531526.5 165320.1, 531520.4 165318.9, 531518.6 165327.35, 531524.75 165328.55, 531530.85 165329.75, 531531.1 165329.8, 531532.65 165321.3, 531526.5 165320.1))",bi_531519-96_165323-0
2,52401019310009,4,"POLYGON ((531508.9 165316.65, 531506.35 165316.15, 531502.939 165317.493, 531500 165318.65, 531499.15 165319, 531500.8 165323.75, 531507.25 165325.05, 531508.9 165316.65))",False,8.92,0.152538271985471,dom1,PRE-1914,Shop,Shop,Dwell,Dwell,,,,,,,,,,,,,,,,,531504.414710803,165320.530996382,1.0,mixed,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1,False,[52401019310013],"LINESTRING (531508.9 165316.65, 531506.35 165316.15, 531502.939 165317.493, 531500 165318.65, 531499.15 165319, 531500.8 165323.75, 531507.25 165325.05)","POLYGON ((531508.9 165316.65, 531506.35 165316.15, 531502.939 165317.493, 531500 165318.65, 531499.15 165319, 531500.8 165323.75, 531507.25 165325.05, 531508.9 165316.65))",bi_531519-96_165323-0
3,52401019310013,3,"POLYGON ((531514.4 165317.75, 531508.9 165316.65, 531507.25 165325.05, 531512.6 165326.15, 531514.4 165317.75))",False,8.49,0.0743561348490787,nondom1,PRE-1914,Shop,Shop,Shop,,,,,,,,,,,,,,,,,,531510.792887239,165321.381737505,1.0,nondom,,,,,,,,,,,,,,,,nondom1,False,"[52401019310009, 52401019330077]","MULTILINESTRING ((531514.4 165317.75, 531508.9 165316.65), (531507.25 165325.05, 531512.6 165326.15))","POLYGON ((531514.4 165317.75, 531508.9 165316.65, 531507.25 165325.05, 531512.6 165326.15, 531514.4 165317.75))",bi_531519-96_165323-0
4,52401019330008,2,"POLYGON ((531513.3 165249.05, 531518 165245.75, 531516.1 165243.05, 531515.3 165243.6, 531514.4 165242.3, 531510.8 165244.9, 531510.45 165245.05, 531513.3 165249.05))",False,5.7,0.132901644791493,dom3,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531514.188933182,165245.566449655,4.0,dom,E,D,Electricity,StorageHeaters,Unknown,Electricity,Electricity,ImmersionHeater,Solid,No,Pitched,Yes,Cavity,Yes,Secondary,dom3,False,"[52401019330064, 52401019330104]","MULTILINESTRING ((531518 165245.75, 531516.1 165243.05, 531515.3 165243.6, 531514.4 165242.3), (531510.8 165244.9, 531510.45 165245.05, 531513.3 165249.05))","POLYGON ((531513.3 165249.05, 531518 165245.75, 531516.1 165243.05, 531515.3 165243.6, 531514.4 165242.3, 531510.8 165244.9, 531510.45 165245.05, 531513.3 165249.05))",bi_531512-39_165243-33
5,52401019330040,2,"POLYGON ((531509.25 165303.8, 531504.4 165306, 531505.5 165308.45, 531506.85 165311.45, 531522.6 165304.4, 531525.55 165303.05, 531521.3 165296.65, 531521.65 165296.4, 531514.9 165286.9, 531508.35 165290.85, 531508.45 165291, 531515.25 165301.1, 531513.55 165301.85, 531512.85 165300.25, 531508.5 165302.25, 531509.25 165303.8))",False,3.3,0.167546177420424,dom1,1945-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531514.865886981,165299.967735318,3.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1,False,[],"LINESTRING (531509.25 165303.8, 531504.4 165306, 531505.5 165308.45, 531506.85 165311.45, 531522.6 165304.4, 531525.55 165303.05, 531521.3 165296.65, 531521.65 165296.4, 531514.9 165286.9, 531508.35 165290.85, 531508.45 165291, 531515.25 165301.1, 531513.55 165301.85, 531512.85 165300.25, 531508.5 165302.25, 531509.25 165303.8)","POLYGON ((531509.25 165303.8, 531504.4 165306, 531505.5 165308.45, 531506.85 165311.45, 531522.6 165304.4, 531525.55 165303.05, 531521.3 165296.65, 531521.65 165296.4, 531514.9 165286.9, 531508.35 165290.85, 531508.45 165291, 531515.25 165301.1, 531513.55 165301.85, 531512.85 165300.25, 531508.5 165302.25, 531509.25 165303.8))",bi_531517-98_165298-45
6,52401019330064,2,"POLYGON ((531518 165245.75, 531513.3 165249.05, 531516.3 165253.25, 531520.25 165250.4, 531519.2 165248.95, 531519.9 165248.45, 531518 165245.75))",False,5.5,0.0890942266410575,dom0,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531516.964462018,165249.495674575,4.0,dom,D,D,Electricity,StorageHeaters,Unknown,Electricity,Electricity,ImmersionHeater,Suspended,No,Pitched,Yes,Cavity,Yes,Double (post 2002),dom0,False,[52401019330008],"LINESTRING (531513.3 165249.05, 531516.3 165253.25, 531520.25 165250.4, 531519.2 165248.95, 531519.9 165248.45, 531518 165245.75)","POLYGON ((531518 165245.75, 531513.3 165249.05, 531516.3 165253.25, 531520.25 165250.4, 531519.2 165248.95, 531519.9 165248.45, 531518 165245.75))",bi_531512-39_165243-33
7,52401019330069,1,"POLYGON ((531515.45 165255.25, 531517.85 165258.62, 531519.56 165257.41, 531522.43 165261.49, 531526.19 165258.84, 531524.92 165257.04, 531525.58 165256.58, 531523.96 165254.29, 531523.31 165254.75, 531522.9 165254.17, 531523.31 165253.88, 531522.16 165252.24, 531521.75 165252.53, 531520.94 165251.38, 531515.45 165255.25))",False,0.89,0.47721504539559,dom0,PRE-1914,Dwell,,,,,,,,,,,,,,,,,,,,531521.140396343,165256.325006003,1.0,dom,E,D,Electricity,Unknown,RmHeaters,None,Electricity,ImmersionHeater,Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Double,dom0,False,[],"LINESTRING (531515.45 165255.25, 531517.85 165258.62, 531519.56 165257.41, 531522.43 165261.49, 531526.19 165258.84, 531524.92 165257.04, 531525.58 165256.58, 531523.96 165254.29, 531523.31 165254.75, 531522.9 165254.17, 531523.31 165253.88, 531522.16 165252.24, 531521.75 165252.53, 531520.94 165251.38, 531515.45 165255.25)","POLYGON ((531515.45 165255.25, 531517.85 165258.62, 531519.56 165257.41, 531522.43 165261.49, 531526.19 165258.84, 531524.92 165257.04, 531525.58 165256.58, 531523.96 165254.29, 531523.31 165254.75, 531522.9 165254.17, 531523.31 165253.88, 531522.16 165252.24, 531521.75 165252.53, 531520.94 165251.38, 531515.45 165255.25))",bi_531520-52_165255-91
8,52401019330077,2,"POLYGON ((531521.098 165315.572, 531515.112 165314.425, 531514.4 165317.75, 531512.6 165326.15, 531517.45 165327.1, 531518.6 165327.35, 531520.4 165318.9, 531521.098 165315.572))",False,6.12,0.163080404501967,dom3,1945-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531516.857436609,165320.872411302,3.0,dom,C,C,Mains Gas,Boiler,Radiators,None,Mains Gas,Boiler,Above (premises),Internal Floor,Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),Unknown (uvalue),High Performance,dom3,False,"[52401019310008, 52401019310013]","MULTILINESTRING ((531521.098 165315.572, 531515.112 165314.425, 531514.4 165317.75), (531512.6 165326.15, 531517.45 165327.1, 531518.6 165327.35), (531520.4 165318.9, 531521.098 165315.572))","POLYGON ((531521.098 165315.572, 531515.112 165314.425, 531514.4 165317.75, 531512.6 165326.15, 531517.45 165327.1, 531518.6 165327.35, 531520.4 165318.9, 531521.098 165315.572))",bi_531519-96_165323-0
9,52401019330090,2,"POLYGON ((531512.4 165237.55, 531510.4 165234.75, 531509.75 165235.2, 531508.75 165233.75, 531504.85 165236.55, 531507.9 165240.85, 531512.4 165237.55))",False,5.32,0.096790863683434,dom1,POST-1980,Dwell,Dwell,,,,,,,,,,,,,,,,,,,531508.579865009,165237.206584953,4.0,dom,missing,missing,,,,missing,missing,missing,missing,,missing,,missing,missing,missing,dom1,False,[52401019330104],"LINESTRING (531512.4 165237.55, 531510.4 165234.75, 531509.75 165235.2, 531508.75 165233.75, 531504.85 165236.55, 531507.9 165240.85)","POLYGON ((531512.4 165237.55, 531510.4 165234.75, 531509.75 165235.2, 531508.75 165233.75, 531504.85 165236.55, 531507.9 165240.85, 531512.4 165237.55))",bi_531512-39_165243-33
