SCU,nofloors,Geometry,shading,height,wwr,construction,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,basement_levels
52401019310007,2,"POLYGON ((531540.9499999999534339 165328.3500000000058208, 531542.0999999999767169 165327.6499999999941792, 531542.0000000000000000 165327.3999999999941792, 531538.0999999999767169 165320.8500000000058208, 531537.5999999999767169 165321.0499999999883585, 531537.5000000000000000 165322.2500000000000000, 531532.6500000000232831 165321.2999999999883585, 531531.0999999999767169 165329.7999999999883585, 531536.5000000000000000 165330.7000000000116415, 531542.8000000000465661 165331.5499999999883585, 531541.1400000000139698 165328.6799999999930151, 531540.9499999999534339 165328.3500000000058208))",FALSE,3.0,0.1471998809364820,uninsulated,Factory,Factory,,,,,,,,,,,,,,,,,,,1
52401019310008,3,"POLYGON ((531526.5000000000000000 165320.1000000000058208, 531520.4000000000232831 165318.8999999999941792, 531518.5999999999767169 165327.3500000000058208, 531524.7500000000000000 165328.5499999999883585, 531530.8499999999767169 165329.7500000000000000, 531531.0999999999767169 165329.7999999999883585, 531532.6500000000232831 165321.2999999999883585, 531526.5000000000000000 165320.1000000000058208))",FALSE,6.0,0.1471998809364820,uninsulated,Shop,Shop,Dwell,,,,,,,,,,,,,,,,,,1
52401019310009,4,"POLYGON ((531508.9000000000232831 165316.6499999999941792, 531507.2500000000000000 165325.0499999999883585, 531500.8000000000465661 165323.7500000000000000, 531499.1500000000232831 165319.0000000000000000, 531500.0000000000000000 165318.6499999999941792, 531502.9390000000130385 165317.4929999999876600, 531506.3499999999767169 165316.1499999999941792, 531508.9000000000232831 165316.6499999999941792))",FALSE,9.0,0.1471998809364820,uninsulated,Shop,Shop,Dwell,Dwell,,,,,,,,,,,,,,,,,1
52401019310013,3,"POLYGON ((531514.4000000000232831 165317.7500000000000000, 531512.5999999999767169 165326.1499999999941792, 531507.2500000000000000 165325.0499999999883585, 531508.9000000000232831 165316.6499999999941792, 531514.4000000000232831 165317.7500000000000000))",FALSE,6.0,0.1471998809364820,uninsulated,Shop,Shop,Shop,,,,,,,,,,,,,,,,,,1
52401019330008,2,"POLYGON ((531513.3000000000465661 165249.0499999999883585, 531510.4499999999534339 165245.0499999999883585, 531510.8000000000465661 165244.8999999999941792, 531514.4000000000232831 165242.2999999999883585, 531515.3000000000465661 165243.6000000000058208, 531516.0999999999767169 165243.0499999999883585, 531518.0000000000000000 165245.7500000000000000, 531513.3000000000465661 165249.0499999999883585))",FALSE,6.0,0.132901644791493,uninsulated,Dwell,Dwell,,,,,,,,,,,,,,,,,,,0
52401019330040,2,"POLYGON ((531509.2500000000000000 165303.7999999999883585, 531504.4000000000232831 165306.0000000000000000, 531505.5000000000000000 165308.4500000000116415, 531505.6979999999748543 165308.8900000000139698, 531506.8499999999767169 165311.4500000000116415, 531522.5999999999767169 165304.3999999999941792, 531525.5500000000465661 165303.0499999999883585, 531521.3000000000465661 165296.6499999999941792, 531521.6500000000232831 165296.3999999999941792, 531514.9000000000232831 165286.8999999999941792, 531508.3499999999767169 165290.8500000000058208, 531508.4499999999534339 165291.0000000000000000, 531515.2500000000000000 165301.1000000000058208, 531513.5500000000465661 165301.8500000000058208, 531512.8499999999767169 165300.2500000000000000, 531508.5000000000000000 165302.2500000000000000, 531509.2500000000000000 165303.7999999999883585))",FALSE,6.0,0.1471998809364820,uninsulated,Dwell,Dwell,,,,,,,,,,,,,,,,,,,0
52401019330064,2,"POLYGON ((531518.0000000000000000 165245.7500000000000000, 531519.9000000000232831 165248.4500000000116415, 531519.1999999999534339 165248.9500000000116415, 531520.2500000000000000 165250.3999999999941792, 531516.3000000000465661 165253.2500000000000000, 531513.3000000000465661 165249.0499999999883585, 531518.0000000000000000 165245.7500000000000000))",FALSE,6.0,0.0890942266410575,uninsulated,Dwell,Dwell,,,,,,,,,,,,,,,,,,,0
52401019330069,1,"POLYGON ((531515.4499999999534339 165255.2500000000000000, 531520.9399999999441206 165251.3800000000046566, 531521.7500000000000000 165252.5299999999988358, 531522.1600000000325963 165252.2399999999906868, 531523.3100000000558794 165253.8800000000046566, 531522.9000000000232831 165254.1700000000128057, 531523.3100000000558794 165254.7500000000000000, 531523.9599999999627471 165254.2900000000081491, 531525.5799999999580905 165256.5799999999871943, 531524.9200000000419095 165257.0400000000081491, 531526.1899999999441206 165258.8399999999965075, 531522.4300000000512227 165261.4899999999906868, 531519.5600000000558794 165257.4100000000034925, 531517.8499999999767169 165258.6199999999953434, 531515.4499999999534339 165255.2500000000000000))",FALSE,3.0,0.47721504539559,uninsulated,Dwell,,,,,,,,,,,,,,,,,,,,0
52401019330077,2,"POLYGON ((531521.0979999999981374 165315.5719999999855645, 531521.1099999999860302 165315.5739999999932479, 531520.4000000000232831 165318.8999999999941792, 531518.5999999999767169 165327.3500000000058208, 531517.4499999999534339 165327.1000000000058208, 531512.5999999999767169 165326.1499999999941792, 531514.4000000000232831 165317.7500000000000000, 531515.1119999999646097 165314.4249999999883585, 531521.0979999999981374 165315.5719999999855645))",FALSE,6.0,0.1471998809364820,uninsulated,Dwell,Dwell,,,,,,,,,,,,,,,,,,,0
52401019330090,2,"POLYGON ((531512.4000000000232831 165237.5499999999883585, 531507.9000000000232831 165240.8500000000058208, 531504.8499999999767169 165236.5499999999883585, 531508.7500000000000000 165233.7500000000000000, 531509.7500000000000000 165235.2000000000116415, 531510.4000000000232831 165234.7500000000000000, 531512.4000000000232831 165237.5499999999883585))",FALSE,6.0,0.1471998809364820,uninsulated,Dwell,Dwell,,,,,,,,,,,,,,,,,,,0
